name,model,display_resolution,OS,processor,Chipset,GPU,memory,storage,ram,primary_camera,secondary_camera,loud_speaker,audio_jack,sensors,battery,colors,price,img_url,,,
Acer,Liquid Z630,5.5 inches (~68.8% screen-to-body ratio),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6735,Mali-T720MP2,microSD (dedicated slot),8 GB,1 GB RAM,8 MP| autofocus| LED flash,8 MP,Yes,Yes,Accelerometer| proximity| compass,Removable Li-Ion 4000 mAh battery,Black,200,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z630.jpg,,,
Acer,Liquid Z530S,5.0 inches (~68.1% screen-to-body ratio),Android 5.1 (Lollipop),Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,Mali-T720MP3,microSD (dedicated slot),32 GB,3 GB RAM,8 MP| autofocus| LED flash,8 MP,Yes,Yes,Accelerometer| proximity,Removable Li-Ion 2420 mAh battery,Black| White,170,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg,,,
Acer,Liquid Z530,5.0 inches (~68.1% screen-to-body ratio),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6735,Mali-T720MP2,microSD (dedicated slot),8 GB,1 GB RAM,8 MP| autofocus| LED flash,8 MP,Yes,Yes,Accelerometer| proximity,Removable Li-Ion 2420 mAh battery,Black| White,150,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg,,,Acer
Acer,Liquid M330,4.5 inches (~61.7% screen-to-body ratio),Microsoft Windows 10,Quad-core 1.0 GHz Cortex-A7,Qualcomm MSM8909 Snapdragon 210,Adreno 304,microSD (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,5 MP,Yes,Yes,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,Mystic Black| Pure White,120,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg,,,
Acer,Liquid M320,4.5 inches (~61.7% screen-to-body ratio),Microsoft Windows 10,Quad-core 1.1 GHz Cortex-A7,Qualcomm MSM8909 Snapdragon 210,Adreno 304,microSD (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,Mystic Black| Pure White,230,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg,,,
Acer,Iconia Tab 10 A3-A30,10.1 inches (~64.6% screen-to-body ratio),Android 5.0 (Lollipop),Quad-core 1.33 GHz,Intel Atom Z3735F,,microSD  up to 256 GB (dedicated slot),16/32/64 GB,2 GB RAM,5 MP,2 MP,Yes with stereo speakers,Yes,Accelerometer,Non-removable Li-Ion 5910 mAh battery (22 Wh),Various,250,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a30-new.png,,,
Acer,Iconia One 8 B1-820,8.0 inches (~67.9% screen-to-body ratio),Android 5.0 (Lollipop),Quad-core 1.33 GHz,Intel Atom Z3735G,,microSD  up to 32 GB (dedicated slot),16/32 GB,1 GB RAM,5 MP,VGA,Yes with stereo speakers,Yes,Accelerometer,Non-removable Li-Ion 4550 mAh battery (17.2 Wh),Various,180,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-one-8-b1-820.jpg,,,
Acer,Iconia Tab A3-A20,10.1 inches (~67.8% screen-to-body ratio),Android 4.4 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT8127,Mali-450MP4,microSD  up to 256 GB (dedicated slot),16 GB,1 GB RAM,5 MP| autofocus,2 MP,Yes with stereo speakers,Yes,Accelerometer,Non-removable Li-Po 5910 mAh battery (A3-A20-K1AY),Black| White,190,http://cdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg,,,
Acer,Iconia Tab A3-A20FHD,10.1 inches (~67.8% screen-to-body ratio),Android 4.4 (KitKat),Quad-core 1.5 GHz Cortex-A7,Mediatek MT8127,Mali-450MP4,microSD  up to 256 GB (dedicated slot),32 GB,2 GB RAM,5 MP| autofocus,2 MP,Yes with stereo speakers,Yes,Accelerometer,Non-removable Li-Po 5910 mAh battery (A3-A20FHD-K8KX),Black| White,230,http://cdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg,,,
Acer,Liquid Jade Z,5.0 inches (~68.8% screen-to-body ratio),Android 5.0 (Lollipop),Quad-core 1.5 GHz Cortex-A53,Mediatek MT6732,Mali-T760MP2,microSD  up to 32 GB (uses SIM 2 slot),8 GB,1 GB RAM - Liquid Jade Z,13 MP| f/1.8| autofocus| LED flash,5 MP,Yes,Yes,Accelerometer| gyro| proximity| compass,Non-removable Li-Po 2300 mAh battery,Black| White,200,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-z.jpg,,,
