name,model,display_resolution,OS,processor,Chipset,GPU,memory,storage,ram,primary_camera,secondary_camera,loud_speaker,audio_jack,sensors,battery,colors,price,img_url,,,
i-mobile,627,2.0 inches (~24.7% screen-to-body ratio),,,,,microSD  up to 1 GB (dedicated slot),63 MB,,3.15 MP (Casio-Hitachi module)| autofocus| LED flash,No,Yes with stereo speakers,No,Accelerometer,Removable Li-Ion 830 mAh battery,Black| Silver,150,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-627.jpg,,,
i-mobile,TV 533,2.4 inches (~31.7% screen-to-body ratio),,,,,microSD  up to 1 GB (dedicated slot),,,VGA,No,No,No,,Removable Li-Ion 1100 mAh battery,Black| Silver,130,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-533.jpg,,,
i-mobile,TV 530,2.4 inches (~31.9% screen-to-body ratio),,,,,microSD  up to 1 GB (dedicated slot),,,VGA,No,No,No,,Removable Li-Ion 1100 mAh battery,Black,270,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-530.jpg,,,
i-mobile,TV 523,2.2 inches (~27.8% screen-to-body ratio),,,,,microSD (dedicated slot),,,VGA,No,Yes with stereo speakers,No,,Removable Li-Ion 1000 mAh battery,Black| Silver,260,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-523.jpg,,,
i-mobile,522,2.2 inches (~27.6% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),120 MB,,VGA,No,No,No,,Removable Li-Ion 1000 mAh battery,Black| Silver,240,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-522.jpg,,,
i-mobile,320,2.2 inches (~27.3% screen-to-body ratio),,,,,microSD  up to 1 GB (dedicated slot),,,VGA,No,No,No,,Removable Li-Ion 750 mAh battery,Black| White,130,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-320.jpg,,,
i-mobile,319,1.67 inches (~20.8% screen-to-body ratio),,,,,microSD  up to 1 GB (dedicated slot),50 MB,,VGA| autofocus| LED flash,No,No,No,,Removable Li-Ion 830 mAh battery,Black| White| Gray,180,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-319.jpg,,,
i-mobile,TV 626,2.4 inches (~31.3% screen-to-body ratio),,,,,microSD  up to 1 GB (dedicated slot),87 MB,,3.15 MP (Casio-Hitachi module)| autofocus| LED flash,No,Yes,No,,Removable Li-Ion 1000 mAh battery,Black| Silver| White,220,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-626.jpg,,,
i-mobile,902,2.0 inches (~25.3% screen-to-body ratio),,,,,microSD (dedicated slot)  1 GB included,128 MB,,5 MP| LED flash,No,No,No,,Removable Li-Ion 1100 mAh battery,Silver,110,http://cdn2.gsmarena.com/vv/bigpic/imobile-902.jpg,,,
i-mobile,625,2.0 inches (~25.1% screen-to-body ratio),,,,,microSD (dedicated slot)  1 GB included,60 MB,,3.15 MP (Casio-Hitachi module)| autofocus| LED flash,No,No,No,,Removable Li-Ion 830 mAh battery,Black| Silver,110,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-625.jpg,,,
i-mobile,903,2.0 inches (~24.9% screen-to-body ratio),,,,,microSD (dedicated slot)  1 GB included,64 MB,,2 MP,No,No,No,,Removable Li-Ion 850 mAh battery,Black| White,220,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-903.jpg,,,
i-mobile,613,2.2 inches (~26.5% screen-to-body ratio),,,,,microSD (dedicated slot)  1 GB included,87 MB,,3.15 MP| autofocus,No,Yes with stereo speakers,No,Accelerometer,Removable Li-Ion 1000 mAh battery,Black,260,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-613.jpg,,,
i-mobile,520,1.76 inches (~20.4% screen-to-body ratio),,,,,microSD (dedicated slot)  1 GB included,56 MB,,1.3 MP,No,No,No,,Removable Li-Ion 750 mAh battery,Black| Silver,280,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-520.jpg,,,
i-mobile,518,2.0 inches (~24.0% screen-to-body ratio),,,,,microSD  up to 1 GB (dedicated slot),88 MB,,2 MP,No,Yes with stereo speakers,No,,Removable Li-Ion 1000 mAh battery,Black,150,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-518.jpg,,,
i-mobile,510,,,,,,microSD (dedicated slot),64 MB,,VGA,No,No,No,,Removable Li-Ion 720 mAh battery,,150,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-510.jpg,,,
i-mobile,318,1.8 inches (~21.2% screen-to-body ratio),,,,,microSD  up to 1 GB (dedicated slot),120 MB,,VGA,No,No,No,,Removable Li-Ion 700 mAh battery,,130,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-318.jpg,,,
i-mobile,315,1.5 inches (~16.0% screen-to-body ratio),,,,,microSD (dedicated slot),,,VGA,No,No,No,,Removable Li-Ion 720 mAh battery,,270,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-315.jpg,,,
i-mobile,202,1.8 inches (~22.1% screen-to-body ratio),,,,,microSD  up to 1 GB (dedicated slot),,,VGA,No,No,No,,Removable Li-Ion 750 mAh battery,Black| White,260,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-202.jpg,,,
i-mobile,201,1.5 inches (~15.2% screen-to-body ratio),,,,,microSD  up to 1 GB (dedicated slot),,,VGA,No,No,No,,Removable Li-Ion 750 mAh battery,Gray-Blue| Black-Orange,240,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-201.jpg,,,
i-mobile,101,1.5 inches (~15.7% screen-to-body ratio),,,,,No,,,,,No,No,,Removable Li-Ion 680 mAh battery,Black| White| Gray,130,http://cdn2.gsmarena.com/vv/bigpic/i-mobile.jpg,,,
Icemobile,Mash,2.2 inches (~21.3% screen-to-body ratio),,,Spreadtrum 6531DA,,microSD  up to 16 GB (dedicated slot),32 MB,32 MB RAM,VGA,No,Yes,Yes,,Removable Li-Ion 800 mAh battery,White| Black| Red| Gold,180,http://cdn2.gsmarena.com/vv/bigpic/icemobile-mash.jpg,,,
Icemobile,G8,7.0 inches (~66.0% screen-to-body ratio),Android 4.4.2 (KitKat),Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572,Mali-400,microSD (dedicated slot),,,5 MP| autofocus| LED flash,VGA,Yes,Yes,Accelerometer,Non-removable Li-Ion 2600 mAh battery,White| Black| Blue,220,http://cdn2.gsmarena.com/vv/bigpic/icemobile-g8.jpg,,,
Icemobile,Prime 5.0 Plus,5.0 inches,Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 32 GB,8 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,Various,110,http://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-5-plus.jpg,,,
Icemobile,Prime 5.0,5.0 inches (~67.1% screen-to-body ratio),Android 4.4.2 (KitKat),Dual-core 1.3 GHz Cortex-A7,Mediatek MT6572A,Mali-400,microSD  up to 32 GB,4 GB,512 MB RAM,5 MP| LED flash,1.3 MP,Yes,Yes,Accelerometer| proximity,Removable Li-Ion 1600 mAh battery,Black| White,110,http://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-5.jpg,,,
Icemobile,Prime 4.0 Plus,| -,Android 4.4.2 (KitKat),Dual-core 1.3 GHz Cortex-A7,Mediatek MT6572,Mali-400,microSD  up to 32 GB,4 GB,512 MB RAM,2 MP| LED flash,VGA,Yes,Yes,Accelerometer,Removable Li-Ion 1400 mAh battery,Various,220,http://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-4-plus.jpg,,,
Icemobile,Gravity 4.0,4.02 inches (~41.8% screen-to-body ratio),Android 4.4.2 (KitKat),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,8 MP| autofocus| LED flash,1.3 MP,Yes,Yes,,Removable Li-Ion 2800 mAh battery,Black| White| Orange| Yellow| Green,260,http://cdn2.gsmarena.com/vv/bigpic/icemobile-gravity-40.jpg,,,
Icemobile,Rock 2.4,2.4 inches (~30.2% screen-to-body ratio),,,,,microSD  up to 8 GB,32 MB ,32 MB,VGA,No,Yes,No,,Removable Li-Ion 1000 mAh battery,Black| White| Red| Pink| Green| White&blue,280,http://cdn2.gsmarena.com/vv/bigpic/icemobile-rock-24.jpg,,,
Icemobile,Prime 5.5,5.46 inches (~70.0% screen-to-body ratio),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582A/W,Mali-400MP2,microSD  up to 64 GB,16 GB,1 GB RAM,8 MP| LED flash,2 MP,Yes,Yes,,Removable Li-Ion 2250 mAh battery,White,150,http://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-55.jpg,,,
Icemobile,Prime 3.5,3.5 inches (~48.1% screen-to-body ratio),Android 4.2.2 (Jelly Bean),Dual-core 1.2 GHz Cortex-A7,Mediatek MT6572M,Mali-400,microSD  up to 32 GB,4 GB,512 MB RAM,2 MP| LED flash,VGA,Yes,Yes,Accelerometer,Removable Li-Ion 1200 mAh battery,White| Black,150,http://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-35.jpg,,,
Icemobile,Prime 4.0,3.97 inches (~54.8% screen-to-body ratio),Android 4.2.2 (Jelly Bean),Dual-core Cortex-A7,Mediatek MT6572M/W,Mali-400,microSD  up to 32 GB,4 GB,512 MB RAM,2 MP| LED flash,VGA,Yes,Yes,Accelerometer,Removable Li-Ion 1550 mAh battery,White| Black| Blue,130,http://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-4.jpg,,,
Icemobile,Apollo Touch 3G,3.5 inches (~51.2% screen-to-body ratio),Android 4.0 (Ice Cream Sandwich),1.0 GHz Cortex-A9,,,microSD  up to 32 GB (dedicated slot),512 MB,512 MB RAM,2 MP| LED flash,VGA,Yes,Yes,Accelerometer,Removable Li-Ion 1200 mAh battery,White| Black| Blue,270,http://cdn2.gsmarena.com/vv/bigpic/icemobile-apollo-touch-3g.jpg,,,
Icemobile,Apollo 3G,2.6 inches (~28.2% screen-to-body ratio),Android 4.2.2 (Jelly Bean),1.0 GHz Cortex-A9,,,microSD  up to 32 GB (dedicated slot),512 MB,512 MB RAM,2 MP| LED flash,VGA,Yes,Yes,Accelerometer,Removable Li-Ion 1200 mAh battery,White| Black| Pink| Blue| Green| Red,260,http://cdn2.gsmarena.com/vv/bigpic/apollo-3g.jpg,,,
Icemobile,G7 Pro,7.0 inches (~57.1% screen-to-body ratio),Android 4.2.2 (Jelly Bean),Dual-core 1.2 GHz Cortex-A7,Mediatek MT6572W,Mali-400,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,2 MP,VGA,Yes,Yes,Accelerometer,Non-removable Li-Po 2800 mAh battery,Black| Red| White| Gray,240,http://cdn2.gsmarena.com/vv/bigpic/icemobile-g7-pro.jpg,,,
Icemobile,G3,7.0 inches (~60.8% screen-to-body ratio),Android 4.2.2 (Jelly Bean),Dual-core 1.0 GHz Cotex-A7,,,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,1.3 MP| LED flash,VGA,Yes,Yes,Accelerometer,Non-removable Li-Ion 2800 mAh battery,Black| Red| White,130,http://cdn2.gsmarena.com/vv/bigpic/icemobile-g3.jpg,,,
Icemobile,Prime 4.5,4.46 inches (~61.3% screen-to-body ratio),Android 4.2.2 (Jelly Bean),Dual-core Cortex-A7,Mediatek MT6572AW,Mali-400,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,2 MP| LED flash,VGA,Yes,Yes,,Removable Li-Ion 1550 mAh battery,Various,180,http://cdn2.gsmarena.com/vv/bigpic/icemobile-prime-45.jpg,,,
Icemobile,Charm II,2.0 inches (~25.7% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,No,Yes,Yes,,Removable Li-Ion 1000 mAh battery,Black| Red| Sliver| Blue| Pink,220,http://cdn2.gsmarena.com/vv/bigpic/icemobile-charm2.jpg,,,
Icemobile,G10,10.1 inches (~68.7% screen-to-body ratio),Android 4.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Mediatek MT8389,PowerVR SGX544,microSD (dedicated slot),,,2 MP| LED flash,VGA,Yes,Yes,Accelerometer,Non-removable Li-Ion 6000 mAh battery,White| Black,110,http://cdn2.gsmarena.com/vv/bigpic/icemobile-g10.jpg,,,
Icemobile,Gravity Pro,4.02 inches (~41.7% screen-to-body ratio),Android 4.0 (Ice Cream Sandwich),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6589,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,1.3 MP,Yes,Yes,,Removable Li-Ion 2800 mAh battery,Black| White| Orange,110,http://cdn2.gsmarena.com/vv/bigpic/icemobile-gravity-pro.jpg,,,
Icemobile,Sol III,4.0 inches (~54.2% screen-to-body ratio),,,,,microSD  up to 32 GB (dedicated slot),,,VGA| LED flash,No,Yes,Yes,,Removable Li-Ion 1000 mAh battery,Black| Red| White| Blue,220,http://cdn2.gsmarena.com/vv/bigpic/icemobile-sol-3.jpg,,,
Icemobile,Hydro,2.0 inches (~20.5% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),,,1.3 MP,No,Yes,No,,Removable Li-Ion 500 mAh battery,Black| White| Blue,260,http://cdn2.gsmarena.com/vv/bigpic/icemobile-hydro.jpg,,,
Icemobile,Rock Bold,1.8 inches (~21.9% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),,,1.3 MP,No,Yes,No,,Removable Li-Ion 700 mAh battery,Black| White| Red| Blue,280,http://cdn2.gsmarena.com/vv/bigpic/icemobile-rock-bold.jpg,,,
Icemobile,G2,7.0 inches (~57.0% screen-to-body ratio),Android OS,,,,microSD  up to 32 GB (dedicated slot),,,3.15 MP,VGA,Yes,Yes,Accelerometer,Non-removable Li-Po 2800 mAh battery,White| Black,150,http://cdn2.gsmarena.com/vv/bigpic/icemobile-g2.jpg,,,
Icemobile,Gprime Extreme,5.0 inches (~66.2% screen-to-body ratio),Android 4.2.1 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6589,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),,,8 MP| autofocus| LED flash,2 MP,No,Yes,Accelerometer| proximity,Removable Li-Ion 1600 mAh battery,Black| White,150,http://cdn2.gsmarena.com/vv/bigpic/icemobile-gprime-extreme.jpg,,,
Icemobile,G7,7.0 inches (~57.0% screen-to-body ratio),Android OS,,,,microSD  up to 32 GB (dedicated slot),,,3.15 MP,VGA,Yes,Yes,Accelerometer,Non-removable Li-Po 2800 mAh battery,White| Black,130,http://cdn2.gsmarena.com/vv/bigpic/icemobile-g7.jpg,,,
Icemobile,G5,7.0 inches,Android 4.0 (Ice Cream Sandwich),1.0 GHz Cortex-A9,Mediatek MT6575,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),,,2 MP,VGA,Yes,Yes,Accelerometer,Non-removable Li-Po 3000 mAh battery,White/Black,270,http://cdn2.gsmarena.com/vv/bigpic/icemobile-g51.jpg,,,
Icemobile,Tropical 3,1.8 inches (~18.0% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,No,Yes,Yes,,Removable Li-Ion 800 mAh battery,Black| Red| Blue| Silver| White,260,http://cdn2.gsmarena.com/vv/bigpic/icemobile-tropical3.jpg,,,
Icemobile,Quattro,2.3 inches (~29.2% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),,,Yes,,Yes,Yes,,Removable Li-Ion 1500 mAh battery (BP-4L),White| Black| Silver| Blue| Red,240,http://cdn2.gsmarena.com/vv/bigpic/icemobile-quattro.jpg,,,
Icemobile,Prime Plus,5.0 inches (~66.0% screen-to-body ratio),Android 4.0 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A5,Qualcomm MSM8225 Snapdragon S4 Play,Adreno 203,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,5 MP| autofocus| LED flash,VGA,No,Yes,Accelerometer| proximity,Removable Li-Ion 2150 mAh battery,Black| White,130,http://cdn2.gsmarena.com/vv/bigpic/icemobile-galaxy-prime-plus.jpg,,,
Icemobile,Submarine,2.0 inches (~20.1% screen-to-body ratio),,,,,microSD  up to 16 GB (dedicated slot),,,1.3 MP,No,Yes,Yes,,Removable Li-Ion 1800 mAh battery,Black| Orange| Gray,180,http://cdn2.gsmarena.com/vv/bigpic/icemobile-submarine.jpg,,,
Icemobile,Charm,1.8 inches (~25.5% screen-to-body ratio),,,,,microSD  up to 4 GB (dedicated slot),,,VGA,No,Yes,No,,Removable Li-Ion 800 mAh battery,Black| Red| Silver| Blue| Pink,220,http://cdn2.gsmarena.com/vv/bigpic/icemobile-charm.jpg,,,
Icemobile,Apollo Touch,3.5 inches,Android 2.3.6 (Gingerbread),1.0 GHz Cortex-A9,Mediatek MT6515,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),,,2 MP,VGA,Yes,Yes,Accelerometer,Removable Li-Ion 1200 mAh battery,White| Black| Pink| Blue| Green| Red| Yellow,110,http://cdn2.gsmarena.com/vv/bigpic/icemobile-apollo-touch.jpg,,,
Icemobile,Apollo,2.6 inches,Android 2.3.6 (Gingerbread),1.0 GHz Cortex-A9,Mediatek MT6515,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),,,2 MP,VGA,Yes,Yes,Accelerometer,Removable Li-Ion 1200 mAh battery,White| Black| Pink| Blue| Green| Red,110,http://cdn2.gsmarena.com/vv/bigpic/icemobile-apollo.jpg,,,
Icemobile,Sol II,2.8 inches (~43.2% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),,,1.3 MP,No,Yes,Yes,,Removable Li-Ion 1000 mAh battery,Black| Red| Pink| White| Blue,220,http://cdn2.gsmarena.com/vv/bigpic/icemobile-sol2.jpg,,,
Icemobile,Diamond Dust,2.2 inches (~21.8% screen-to-body ratio),,,Mediatek MT6252C,,microSD  up to 16 GB (dedicated slot),16 MB ROM,8 Mb RAM,VGA,No,Yes,Yes,,Removable Li-Ion 950 mAh battery,White| Black| Pink| Blue| Violet,260,http://cdn2.gsmarena.com/vv/bigpic/icemobile-diamond-dust.jpg,,,
Icemobile,Blizzard,2.0 inches (~25.7% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),128 MB ,32 MB,VGA,No,Yes,No,,Removable Li-Ion 1000 mAh battery,Various,280,http://cdn2.gsmarena.com/vv/bigpic/icemobile-blizzard.jpg,,,
Icemobile,Rock Lite,1.8 inches (~20.1% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),,,,,Yes,No,,Removable Li-Ion 700 mAh battery,Black| Red| White| Red| Silver,150,http://cdn2.gsmarena.com/vv/bigpic/icemobile-rock-lite.jpg,,,
Icemobile,Cenior,1.8 inches (~20.2% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),64 MB ,32 MB,VGA,No,Yes,No,,Removable Li-Ion 1200 mAh battery,Various,150,http://cdn2.gsmarena.com/vv/bigpic/icemobile-cenior.jpg,,,
Icemobile,Acqua,1.77 inches (~15.2% screen-to-body ratio),,,,,No,2 GB,,1.3 MP,No,Yes,No,,Removable Li-Ion 3600 mAh battery,Black| Orange| Green,130,http://cdn2.gsmarena.com/vv/bigpic/icemobile-acqua.jpg,,,
Icemobile,Prime,5.2 inches,Android 2.3 (Gingerbread),650 MHz Cortex-A9,Mediatek MT6573,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),512 MB,512 MB RAM,5 MP| autofocus| LED flash,VGA,No,Yes,Accelerometer| gyro| proximity| compass,Removable Li-Ion 2200 mAh battery,Black| White,270,http://cdn2.gsmarena.com/vv/bigpic/icemobile-galaxy-prime.jpg,,,
Icemobile,Rock Mini,1.8 inches (~21.9% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),,,1.3 MP,No,Yes,No,,Removable Li-Ion 700 mAh battery,Black| White| Red| Silver,260,http://cdn2.gsmarena.com/vv/bigpic/icemobile-rock-mini.jpg,,,
Icemobile,Twilight II,2.4 inches (~34.8% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),,,2 MP,VGA,No,No,,Removable Li-Ion 700 mAh battery,Black| Red| White,240,http://cdn2.gsmarena.com/vv/bigpic/icemobile-twilight2.jpg,,,
Icemobile,Fuego,2.0 inches (~24.7% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),,,1.3 MP,VGA,Yes,,,Removable Li-Ion 950 mAh battery,Black| Red| White,130,http://cdn2.gsmarena.com/vv/bigpic/icemobile-fuego.jpg,,,
Icemobile,Hurricane II,2.2 inches (~22.4% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),128,64 MB,VGA,No,Yes,,,Removable Li-Ion 1050 mAh battery,Black| White| Gold| Blue,180,http://cdn2.gsmarena.com/vv/bigpic/icemobile-hurricane-ii.jpg,,,
Icemobile,Sol,2.4 inches (~35.7% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,No,Yes,Yes,,Removable Li-Ion 850 mAh battery,Red| Pink| White| Blue,220,http://cdn2.gsmarena.com/vv/bigpic/icemobile-sol.jpg,,,
Icemobile,Twister,2.4 inches (~32.1% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),,,2 MP,Yes,Yes,Yes,,Removable Li-Ion 1000 mAh battery,Black| Blue| White| Pink,110,http://cdn2.gsmarena.com/vv/bigpic/icemobile-twister.jpg,,,
Icemobile,Wave,2.2 inches (~27.0% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,Yes,Yes,Yes,,Removable Li-Ion 800 mAh battery,Black/Red| Blue/White| Black/Silver| Black,110,http://cdn2.gsmarena.com/vv/bigpic/icemobile-wave.jpg,,,
Icemobile,Tornado II,2.2 inches (~30.9% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),,,VGA,Yes,Yes,Yes,,Removable Li-Ion 1050 mAh battery,Black| Red| Orange| Blue| Silver,220,http://cdn2.gsmarena.com/vv/bigpic/icemobile-tornado-ii.jpg,,,
Icemobile,Storm,2.0 inches (~20.0% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),,,VGA| LED flash,Yes,Yes,Yes,,Removable Li-Ion 1000 mAh battery,Purple| Black| Red| Rose| Coffee| Blue| Yellow,260,http://cdn2.gsmarena.com/vv/bigpic/icemobile-storm.jpg,,,
Icemobile,Clima II,2.4 inches (~22.8% screen-to-body ratio),Android 2.2 (Froyo),416 MHz,Mediatek MT6516,,microSD  up to 16 GB (dedicated slot),,,2 MP,VGA,Yes,Yes,,Removable Li-Ion 1000 mAh battery,Black| Blue| White,70,http://cdn2.gsmarena.com/vv/bigpic/icemobile-clima-ii.jpg,,,
Icemobile,Flurry II,2.0 inches (~24.2% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,Yes,Yes,No,,Removable Li-Ion 800 mAh battery,Black| Red| Blue| Pink| White,150,http://cdn2.gsmarena.com/vv/bigpic/icemobile-flurryII.jpg,,,
Icemobile,Shine,3.2 inches (~46.9% screen-to-body ratio),Android 2.2 (Froyo),,,,microSD  up to 16 GB (dedicated slot),512 MB,256 MB RAM,2 MP,Yes,Yes,Yes,Accelerometer| compass,Removable Li-Ion battery,White| Black| Red,150,http://cdn2.gsmarena.com/vv/bigpic/icemobile-shine.jpg,,,
Icemobile,Crystal,3.5 inches (~55.6% screen-to-body ratio),Android 2.2 (Froyo),416 MHz,Mediatek MT6516,,microSD  up to 2 GB (dedicated slot),512 MB ,256 MB,1.3 MP| LED flash,Yes,Yes,Yes,Accelerometer,Removable Li-Ion 1050 mAh battery,Black| White,130,http://cdn2.gsmarena.com/vv/bigpic/icemobile-crystal.jpg,,,
Icemobile,Comet II,2.2 inches (~22.8% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),,,VGA,No,Yes,Yes,,Removable Li-Ion 1050 mAh battery,Black| Pink| Brown,270,http://cdn2.gsmarena.com/vv/bigpic/icemobile-cometII.jpg,,,
Icemobile,Viento II,2.0 inches (~22.9% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),,,VGA,No,Yes,Yes,,Removable Li-Ion 800 mAh battery,Purple| Black| Red ,260,http://cdn2.gsmarena.com/vv/bigpic/icemobile-viento-II.jpg,,,
Icemobile,Rock,1.77 inches (~19.3% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),,,Yes,No,Yes,No,,Removable Li-Ion 800 mAh battery,Purple| Blue| Black| Red| Yellow,240,http://cdn2.gsmarena.com/vv/bigpic/icemobile-rock.jpg,,,
Icemobile,Tropical,1.8 inches (~16.5% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),,,VGA,No,Yes,Yes,,Removable Li-Ion 800 mAh battery,Black/Red| White/Black| Pink/Black,130,http://cdn2.gsmarena.com/vv/bigpic/icemobile-tropical-1.jpg,,,
Icemobile,Tropical II,1.8 inches (~18.6% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),,,VGA,No,Yes,Yes,,Removable Li-Ion 800 mAh battery,Purple| Black| Red,180,http://cdn2.gsmarena.com/vv/bigpic/icemobile-tropical-ii-new.jpg,,,
Icemobile,Rainbow II,1.8 inches (~19.6% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),,,0.3 MP,No,Yes,No,,Removable Li-Ion battery,Black| Blue| Red| Purple| Yellow,220,http://cdn2.gsmarena.com/vv/bigpic/icemobile-rainbow2.jpg,,,
Icemobile,Rainbow,1.8 inches (~16.0% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),,,0.3 MP,No,Yes,No,,Removable Li-Ion 580 mAh battery,Black| Blue| Red| Pink| White,110,http://cdn2.gsmarena.com/vv/bigpic/icemobile-rainbow.jpg,,,
Icemobile,Twilight,1.8 inches (~19.3% screen-to-body ratio),,,,,microSD  up to 16 GB (dedicated slot),,,0.3 MP,Yes,No,No,,Removable Li-Ion 650 mAh battery,Black| White| Red,110,http://cdn2.gsmarena.com/vv/bigpic/icemobile-twilight.jpg,,,
Innostream,INNO A20,,,,,,MMC,64 MB (128 MB optional),,2 MP| LED flash,No,No,No,,Removable Li-Ion battery,,220,http://cdn2.gsmarena.com/vv/bigpic/innostream-a20.gif,,,
Innostream,INNO P10,,,,,,RS-MMC,,,1.3 MP| LED flash,No,Yes with stereo speakers,No,,Removable Li-Ion 830 mAh battery,Black| Silver| Red,260,http://cdn2.gsmarena.com/vv/bigpic/innostream-p10.gif,,,
Innostream,INNO A10,,,,,,No,128 MB,,1.3 MP| LED flash,No,Yes,No,,Removable Li-Ion battery,Silver| Blue,70,http://cdn2.gsmarena.com/vv/bigpic/ina10.gif,,,
Innostream,INNO 75,,,,,,miniSD,,,VGA,No,No,No,,Removable Li-Ion battery,,150,http://cdn2.gsmarena.com/vv/bigpic/ininno75.gif,,,
Innostream,INNO 50,,,,,,No,12 MB,,1.3 MP| LED flash,No,Yes with stereo speakers,No,,Removable Li-Ion battery,Silver,150,http://cdn2.gsmarena.com/vv/bigpic/ininno50.gif,,,
Innostream,INNO 36,,,,,,No,,,VGA,No,No,No,,Removable Li-Ion battery,Silver| Red,130,http://cdn2.gsmarena.com/vv/bigpic/innostream-36.gif,,,
Innostream,INNO 79,,,,,,No,,,VGA,No,No,No,,Removable Li-Ion battery,,270,http://cdn2.gsmarena.com/vv/bigpic/ininno79.gif,,,
Innostream,INNO 78,,,,,,No,,,VGA,No,No,No,,Removable Li-Ion battery,,260,http://cdn2.gsmarena.com/vv/bigpic/ininno78.gif,,,
